sample_index,time_ms,category,mechanism,selected_leads,voting_leads,vote_count,reference_lead,local_raw_amplitude_lsb,local_energy,waveform_snippet_len,record_id
2305,9220.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (992ms from last QRS),I+II+III,I+II+III,3,I,138,6,160,data/10
137,548.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+aVR,I+II+aVR,3,I,152,6,160,data/11
2388,9552.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (992ms from last QRS),aVF+I+II,aVF+I+II,3,aVF,26,2,160,data/11
132,528.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+V2+V3,I+V2+V3,3,I,-60,6,160,data/12
2381,9524.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1112ms from last QRS),I+aVR+V1,I+aVR+V1,3,I,84,3,160,data/12
206,824.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,I+II+III,I+II+III,3,I,167,1,160,data/13
2046,8184.0,t_wave_misdetection,Peaked T-wave/ST segment 212ms post-QRS exceeding detection threshold,II+V1+aVR,II+V1+aVR,3,II,-18,16,160,data/13
2251,9004.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1032ms from last QRS),II+V1+aVR,II+V1+aVR,3,II,137,13,160,data/13
2305,9220.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1248ms from last QRS),II+V1+aVR,II+V1,2,II,-12,15,160,data/13
80,320.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,69,4,160,data/14
2407,9628.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (692ms from last QRS),I+II+III,I+II+III,3,I,56,1,160,data/14
182,728.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,145,13,160,data/15
2317,9268.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (940ms from last QRS),I+II+III,I+II+III,3,I,141,9,160,data/15
113,452.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+aVR,I+II+aVR,3,I,129,4,160,data/16
2370,9480.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (848ms from last QRS),I+II+III,I+II+III,3,I,150,10,160,data/16
181,724.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),II+aVR+V1,II+aVR+V1,3,II,120,8,160,data/17
2465,9860.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (804ms from last QRS),I+II+aVR,I+II+aVR,3,I,137,5,115,data/17
1,4.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),III+aVF+V1,III+aVF+V1,3,III,102,0,81,data/18
196,784.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,III+aVF+V1,III+aVF+V1,3,III,69,2,160,data/18
201,804.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,I+II+III,I+II+III,3,I,172,4,160,data/19
2418,9672.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (992ms from last QRS),I+II+III,I+II+III,3,I,170,3,160,data/19
230,920.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,I+II+III,I+II+III,3,I,28,19,160,data/20
2313,9252.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (956ms from last QRS),I+II+III,I+II+III,3,I,28,33,160,data/20
80,320.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,152,17,160,data/21
2340,9360.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (832ms from last QRS),I+II+III,I+II+III,3,I,134,10,160,data/21
14,56.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+III+aVR,I+III+aVR,3,I,128,0,94,data/22
2363,9452.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (704ms from last QRS),I+II+III,I+II+III,3,I,115,2,160,data/22
105,420.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,118,2,160,data/23
2380,9520.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1032ms from last QRS),I+II+III,I+II+III,3,I,82,3,160,data/23
2416,9664.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1248ms from last QRS),III+V4+I,III+V4,2,III,-30,19,160,data/24
260,1040.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,I+II+aVR,I+II+aVR,3,I,109,5,160,data/25
2293,9172.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1080ms from last QRS),I+II+aVR,I+II+aVR,3,I,144,6,160,data/25
190,760.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,I+II+III,I+II+III,3,I,130,10,160,data/26
2308,9232.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (904ms from last QRS),V2+I+II,V2+I+II,3,V2,-164,14,160,data/26
89,356.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+aVR,I+II+aVR,3,I,125,5,160,data/27
2294,9176.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1108ms from last QRS),I+II+III,I+II+III,3,I,144,4,160,data/27
120,480.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,143,1,160,data/28
2409,9636.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1032ms from last QRS),I+II+III,I+II+III,3,I,174,2,160,data/28
7,28.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+aVR,I+II+aVR,3,I,155,19,87,data/29
2316,9264.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (920ms from last QRS),I+II+III,I+II+III,3,I,167,7,160,data/29
54,216.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+aVR,I+II+aVR,3,I,124,5,134,data/30
2459,9836.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1236ms from last QRS),I+II+III,I+II+III,3,I,119,5,121,data/30
88,352.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+aVR,I+II+aVR,3,I,147,6,160,data/31
2404,9616.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (936ms from last QRS),I+II+aVR,I+II+aVR,3,I,154,8,160,data/31
92,368.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+aVR,I+II+aVR,3,I,167,5,160,data/32
128,512.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,133,3,160,data/33
2336,9344.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (956ms from last QRS),I+II+III,I+II+III,3,I,145,3,160,data/33
84,336.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,-31,3,160,data/35
2001,8004.0,cross_window_boundary,2.0-second SQI window boundary artifact / edge stitching,V1+III+aVR,V1+III+aVR,3,V1,-78,13,160,data/35
2278,9112.0,t_wave_misdetection,Peaked T-wave/ST segment 268ms post-QRS exceeding detection threshold,V1+III+aVR,V1+aVR,2,V1,40,2,160,data/35
2467,9868.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (428ms from last QRS),V1+III+aVR,III+aVR,2,V1,-100,8,113,data/35
195,780.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,I+II+aVR,I+II+aVR,3,I,119,8,160,data/36
2262,9048.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (960ms from last QRS),I+II+aVR,I+II+aVR,3,I,132,12,160,data/36
31,124.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+aVR,I+II+aVR,3,I,142,11,111,data/37
2000,8000.0,cross_window_boundary,2.0-second SQI window boundary artifact / edge stitching,I+II+aVR,I+II+aVR,3,I,119,6,160,data/37
2459,9836.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (924ms from last QRS),I+II+aVR,I+II+aVR,3,I,103,7,121,data/37
155,620.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+aVR+V1,I+aVR+V1,3,I,85,6,160,data/38
242,968.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,I+II+III,I+II+III,3,I,101,6,160,data/39
91,364.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,152,5,160,data/40
2394,9576.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (980ms from last QRS),I+II+III,I+II+III,3,I,118,9,160,data/40
64,256.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,144,12,144,data/41
2204,8816.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1236ms from last QRS),I+II+III,I+II+III,3,I,120,6,160,data/41
28,112.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,107,11,108,data/42
2408,9632.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1072ms from last QRS),I+II+III,I+II+III,3,I,148,7,160,data/42
98,392.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+aVR,I+II+aVR,3,I,163,7,160,data/43
2322,9288.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1004ms from last QRS),I+II+aVR,I+II+aVR,3,I,104,8,160,data/43
149,596.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),aVR+V5+V6,aVR+V5+V6,3,aVR,-124,11,160,data/44
2391,9564.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (784ms from last QRS),V4+aVF+I,V4+aVF+I,3,V4,-69,30,160,data/44
2445,9780.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1000ms from last QRS),V4+aVF+I,V4+aVF,2,V4,48,9,135,data/44
183,732.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,132,7,160,data/46
2328,9312.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (956ms from last QRS),I+II+III,I+II+III,3,I,136,5,160,data/46
143,572.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,134,3,160,data/47
2360,9440.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1268ms from last QRS),I+II+III,I+II+III,3,I,148,7,160,data/47
235,940.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,I+II+aVR,I+II+aVR,3,I,107,1,160,data/48
2289,9156.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1004ms from last QRS),I+II+III,I+II+III,3,I,124,0,160,data/48
175,700.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,120,7,160,data/49
2382,9528.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1116ms from last QRS),I+II+III,I+II+III,3,I,154,12,160,data/49
148,592.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,141,3,160,data/50
2298,9192.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (856ms from last QRS),I+II+III,I+II+III,3,I,160,5,160,data/50
1,4.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),III+aVF+II,III+aVF,2,III,-144,0,81,data/51
278,1112.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,III+aVF+II,III+aVF+II,3,III,-137,7,160,data/51
1186,4744.0,t_wave_misdetection,Peaked T-wave/ST segment 268ms post-QRS exceeding detection threshold,III+aVF+II,III+aVF,2,III,34,13,160,data/51
1551,6204.0,t_wave_misdetection,Peaked T-wave/ST segment 276ms post-QRS exceeding detection threshold,III+aVF+aVL,III+aVF,2,III,36,11,160,data/51
1676,6704.0,t_wave_misdetection,Peaked T-wave/ST segment 256ms post-QRS exceeding detection threshold,III+aVF+aVL,III+aVF+aVL,3,III,30,13,160,data/51
2089,8356.0,t_wave_misdetection,Peaked T-wave/ST segment 268ms post-QRS exceeding detection threshold,III+aVL+aVF,III+aVL+aVF,3,III,34,10,160,data/51
2296,9184.0,t_wave_misdetection,Peaked T-wave/ST segment 272ms post-QRS exceeding detection threshold,III+aVL+aVF,III+aVL+aVF,3,III,43,14,160,data/51
2436,9744.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (832ms from last QRS),III+aVL+aVF,III+aVL+aVF,3,III,-148,6,144,data/51
2495,9980.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1068ms from last QRS),III+aVL+aVF,III+aVL+aVF,3,III,49,16,85,data/51
36,144.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+III+aVR,I+III+aVR,3,I,21,1,116,data/52
2127,8508.0,t_wave_misdetection,Peaked T-wave/ST segment 272ms post-QRS exceeding detection threshold,II+aVF+I,II+aVF,2,II,-27,7,160,data/52
2272,9088.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (852ms from last QRS),II+aVF+I,II+aVF+I,3,II,133,1,160,data/52
48,192.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,174,8,128,data/53
1500,6000.0,cross_window_boundary,2.0-second SQI window boundary artifact / edge stitching,V2+V3+I,V2+V3+I,3,V2,-114,5,160,data/53
2446,9784.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (960ms from last QRS),I+II+III,I+II+III,3,I,177,8,134,data/53
10,40.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+aVR,I+II+aVR,3,I,152,2,90,data/54
2235,8940.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1116ms from last QRS),I+II+III,I+II+III,3,I,150,3,160,data/54
179,716.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,139,1,160,data/55
2369,9476.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (980ms from last QRS),I+II+III,I+II+III,3,I,142,1,160,data/55
204,816.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,I+II+III,I+II+III,3,I,54,3,160,data/56
2441,9764.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (812ms from last QRS),I+II+III,I+II+III,3,I,36,2,139,data/56
35,140.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+aVR,I+II+aVR,3,I,168,7,115,data/57
2437,9748.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (720ms from last QRS),I+II+III,I+II+III,3,I,171,6,143,data/57
101,404.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+aVR,I+II+aVR,3,I,125,2,160,data/58
279,1116.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,I+II+III,I+II+III,3,I,11,19,160,data/59
2019,8076.0,t_wave_misdetection,Peaked T-wave/ST segment 252ms post-QRS exceeding detection threshold,II+aVR+aVF,II+aVR+aVF,3,II,60,12,160,data/59
2238,8952.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1128ms from last QRS),II+aVR+aVF,II+aVR+aVF,3,II,126,12,160,data/59
2297,9188.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1364ms from last QRS),II+aVR+aVF,II+aVR+aVF,3,II,56,10,160,data/59
2368,9472.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1648ms from last QRS),II+aVR+aVF,II+aVR,2,II,-6,3,160,data/59
23,92.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,119,12,103,data/60
2318,9272.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1012ms from last QRS),I+II+III,I+II+III,3,I,148,8,160,data/60
106,424.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,167,9,160,data/61
2255,9020.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (972ms from last QRS),I+II+III,I+II+III,3,I,154,7,160,data/61
198,792.0,baseline_wander_noise,Pre-beat low frequency wander before first reference beat,I+II+III,I+II+III,3,I,155,2,160,data/62
2354,9416.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (864ms from last QRS),I+II+III,I+II+III,3,I,139,4,160,data/62
139,556.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,106,7,160,data/63
2439,9756.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (968ms from last QRS),I+II+III,I+II+III,3,I,114,16,141,data/63
93,372.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+aVR,I+II+aVR,3,I,149,5,160,data/64
1744,6976.0,t_wave_misdetection,Peaked T-wave/ST segment 288ms post-QRS exceeding detection threshold,aVF+V3+I,aVF+V3,2,aVF,128,0,160,data/64
1971,7884.0,t_wave_misdetection,Peaked T-wave/ST segment 292ms post-QRS exceeding detection threshold,aVF+V3+I,aVF+V3,2,aVF,129,0,160,data/64
2210,8840.0,t_wave_misdetection,Peaked T-wave/ST segment 292ms post-QRS exceeding detection threshold,aVF+V3+I,aVF+V3,2,aVF,124,1,160,data/64
2388,9552.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1004ms from last QRS),aVF+V3+I,aVF+V3+I,3,aVF,87,3,160,data/64
90,360.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,161,10,160,data/65
2352,9408.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (700ms from last QRS),I+II+III,I+II+III,3,I,147,6,160,data/65
162,648.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),aVF+I+II,aVF+I+II,3,aVF,89,1,160,data/66
2300,9200.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1244ms from last QRS),I+II+aVR,I+II+aVR,3,I,166,12,160,data/66
181,724.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,153,11,160,data/67
2293,9172.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1064ms from last QRS),I+II+III,I+II+III,3,I,139,4,160,data/67
33,132.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,151,7,113,data/68
2335,9340.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (896ms from last QRS),I+II+III,I+II+III,3,I,161,12,160,data/68
181,724.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,83,7,160,data/69
13,52.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,137,21,93,data/70
2348,9392.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (708ms from last QRS),I+II+III,I+II+III,3,I,131,11,160,data/70
21,84.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,75,9,101,data/71
2374,9496.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1044ms from last QRS),I+II+III,I+II+III,3,I,113,6,160,data/71
163,652.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),V5+V6+V3,V5+V6+V3,3,V5,130,1,160,data/72
2343,9372.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1020ms from last QRS),V5+V6+V3,V5+V6+V3,3,V5,83,7,160,data/72
156,624.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+aVR,I+II+aVR,3,I,151,3,160,data/73
2452,9808.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1008ms from last QRS),I+II+III,I+II+III,3,I,164,7,128,data/73
54,216.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,78,3,134,data/75
2465,9860.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (960ms from last QRS),I+aVR+V1,I+aVR+V1,3,I,92,1,115,data/75
132,528.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+aVR,I+II+aVR,3,I,144,3,160,data/76
165,660.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+aVR,I+II+aVR,3,I,115,4,160,data/77
2362,9448.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (800ms from last QRS),V3+I+II,V3+I+II,3,V3,-69,3,160,data/77
127,508.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+aVR,I+II+aVR,3,I,147,3,160,data/78
2278,9112.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (972ms from last QRS),I+II+aVR,I+II+aVR,3,I,130,5,160,data/78
39,156.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,143,6,119,data/79
2426,9704.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1076ms from last QRS),I+II+III,I+II+III,3,I,123,6,154,data/79
2000,8000.0,cross_window_boundary,2.0-second SQI window boundary artifact / edge stitching,V3+II+III,V3+II+III,3,V3,-50,0,160,data/80
2400,9600.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (796ms from last QRS),V3+II+III,V3+II+III,3,V3,-82,1,160,data/80
110,440.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,114,4,160,data/81
151,604.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,42,9,160,data/82
115,460.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+aVR,I+II+aVR,3,I,147,7,160,data/84
2365,9460.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1004ms from last QRS),I+II+aVR,I+II+aVR,3,I,90,6,160,data/84
160,640.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+aVR,I+II+aVR,3,I,148,4,160,data/85
2372,9488.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (820ms from last QRS),I+II+III,I+II+III,3,I,139,5,160,data/85
145,580.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),II+aVR+aVF,II+aVR+aVF,3,II,119,3,160,data/86
2339,9356.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (688ms from last QRS),I+II+aVR,I+II+aVR,3,I,62,8,160,data/86
159,636.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,55,2,160,data/87
2374,9496.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (680ms from last QRS),I+II+III,I+II+III,3,I,95,2,160,data/87
145,580.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+aVL+V2,I+aVL+V2,3,I,132,3,160,data/88
2356,9424.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (828ms from last QRS),I+aVL+V2,I+aVL+V2,3,I,149,3,160,data/88
175,700.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+III+aVR,I+III+aVR,3,I,147,5,160,data/89
91,364.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+V1+V2,I+V1+V2,3,I,125,9,160,data/91
2297,9188.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (616ms from last QRS),I+V1+V2,I+V1+V2,3,I,114,5,160,data/91
60,240.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+aVL+V1,I+aVL+V1,3,I,137,5,140,data/92
2351,9404.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (608ms from last QRS),I+aVL+V1,I+aVL+V1,3,I,114,4,160,data/92
2425,9700.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (992ms from last QRS),V3+V4+I,V3+V4,2,V3,129,0,155,data/93
173,692.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,122,2,160,data/94
2342,9368.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (764ms from last QRS),I+II+III,I+II+III,3,I,131,4,160,data/94
89,356.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),II+aVR+aVF,II+aVR+aVF,3,II,157,1,160,data/96
2413,9652.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (724ms from last QRS),I+II+aVR,I+II+aVR,3,I,126,3,160,data/96
94,376.0,startup_transient,Filter settling & initial adaptive threshold calibration phase (<0.75s),I+II+III,I+II+III,3,I,135,5,160,data/97
2333,9332.0,baseline_wander_noise,Low frequency wander or sub-threshold noise ripple (1012ms from last QRS),I+II+III,I+II+III,3,I,96,9,160,data/97
