reference_sample_index,time_ms,category,mechanism,selected_leads,detecting_leads,detecting_lead_count,lead_amplitudes,record_id
311,1244.0,sub_threshold_amplitude,Low global QRS amplitude (105 LSB) below adaptive detection threshold,I+III+aVL,none,0,"{""I"": 105, ""II"": 93, ""III"": 58, ""aVR"": 115, ""aVL"": 80, ""aVF"": 22, ""V1"": 100, ""V2"": 134, ""V3"": 118, ""V4"": 116, ""V5"": 51, ""V6"": 43}",data/116
478,1912.0,sub_threshold_amplitude,Low global QRS amplitude (107 LSB) below adaptive detection threshold,I+III+aVL,none,0,"{""I"": 107, ""II"": 114, ""III"": 52, ""aVR"": 126, ""aVL"": 76, ""aVF"": 38, ""V1"": 89, ""V2"": 135, ""V3"": 103, ""V4"": 102, ""V5"": 55, ""V6"": 67}",data/116
645,2580.0,voting_insufficient,Only 1 lead (III) detected beat; failed 2-of-3 fusion requirement,III+I+II,III,1,"{""I"": 101, ""II"": 107, ""III"": 53, ""aVR"": 118, ""aVL"": 75, ""aVF"": 39, ""V1"": 76, ""V2"": 135, ""V3"": 105, ""V4"": 103, ""V5"": 41, ""V6"": 70}",data/116
811,3244.0,voting_insufficient,Only 1 lead (III) detected beat; failed 2-of-3 fusion requirement,III+I+II,III,1,"{""I"": 100, ""II"": 116, ""III"": 48, ""aVR"": 119, ""aVL"": 72, ""aVF"": 36, ""V1"": 69, ""V2"": 138, ""V3"": 97, ""V4"": 98, ""V5"": 45, ""V6"": 78}",data/116
975,3900.0,voting_insufficient,Only 1 lead (III) detected beat; failed 2-of-3 fusion requirement,III+I+II,III,1,"{""I"": 97, ""II"": 83, ""III"": 47, ""aVR"": 104, ""aVL"": 73, ""aVF"": 20, ""V1"": 64, ""V2"": 133, ""V3"": 91, ""V4"": 105, ""V5"": 25, ""V6"": 101}",data/116
387,1548.0,voting_insufficient,Only 1 lead (I) detected beat; failed 2-of-3 fusion requirement,I+II+III,I,1,"{""I"": 135, ""II"": 52, ""III"": 37, ""aVR"": 69, ""aVL"": 23, ""aVF"": 44, ""V1"": 28, ""V2"": 49, ""V3"": 56, ""V4"": 63, ""V5"": 63, ""V6"": 35}",data/133
680,2720.0,voting_insufficient,Only 1 lead (I) detected beat; failed 2-of-3 fusion requirement,I+II+III,I,1,"{""I"": 122, ""II"": 47, ""III"": 32, ""aVR"": 63, ""aVL"": 20, ""aVF"": 39, ""V1"": 29, ""V2"": 48, ""V3"": 54, ""V4"": 60, ""V5"": 63, ""V6"": 41}",data/133
966,3864.0,voting_insufficient,Only 1 lead (I) detected beat; failed 2-of-3 fusion requirement,I+II+III,I,1,"{""I"": 122, ""II"": 52, ""III"": 36, ""aVR"": 67, ""aVL"": 24, ""aVF"": 44, ""V1"": 33, ""V2"": 48, ""V3"": 51, ""V4"": 59, ""V5"": 61, ""V6"": 38}",data/133
1272,5088.0,voting_insufficient,Only 1 lead (I) detected beat; failed 2-of-3 fusion requirement,I+II+III,I,1,"{""I"": 141, ""II"": 48, ""III"": 36, ""aVR"": 69, ""aVL"": 23, ""aVF"": 42, ""V1"": 29, ""V2"": 52, ""V3"": 55, ""V4"": 60, ""V5"": 63, ""V6"": 36}",data/133
1572,6288.0,voting_insufficient,Only 1 lead (I) detected beat; failed 2-of-3 fusion requirement,I+II+III,I,1,"{""I"": 134, ""II"": 47, ""III"": 30, ""aVR"": 64, ""aVL"": 20, ""aVF"": 39, ""V1"": 28, ""V2"": 51, ""V3"": 53, ""V4"": 56, ""V5"": 60, ""V6"": 39}",data/133
1862,7448.0,voting_insufficient,Only 1 lead (I) detected beat; failed 2-of-3 fusion requirement,I+II+III,I,1,"{""I"": 101, ""II"": 50, ""III"": 40, ""aVR"": 63, ""aVL"": 31, ""aVF"": 44, ""V1"": 25, ""V2"": 41, ""V3"": 48, ""V4"": 58, ""V5"": 66, ""V6"": 41}",data/133
2165,8660.0,voting_insufficient,Only 1 lead (I) detected beat; failed 2-of-3 fusion requirement,I+II+III,I,1,"{""I"": 130, ""II"": 46, ""III"": 30, ""aVR"": 66, ""aVL"": 15, ""aVF"": 38, ""V1"": 29, ""V2"": 45, ""V3"": 55, ""V4"": 60, ""V5"": 61, ""V6"": 39}",data/133
